[REGIONS]
; - FACA_ACC_West
FACA_ACC_West 0 S036.59.59.972 E022.25.41.956
S025.30.57.947 E022.51.17.001
S025.32.05.851 E022.51.14.822
S025.32.51.534 E022.50.14.720
S025.34.24.834 E022.49.38.133
S025.34.53.295 E022.48.49.107
S025.36.47.073 E022.51.08.736
S025.37.15.979 E022.50.09.745
S025.38.01.429 E022.47.54.956
S025.39.05.076 E022.48.28.057
S025.39.28.643 E022.49.51.181
S025.40.35.868 E022.49.23.210
S025.41.31.739 E022.49.04.343
S025.42.40.908 E022.48.36.164
S025.43.38.880 E022.47.43.204
S025.44.01.755 E022.46.10.135
S025.46.09.980 E022.45.53.263
S025.47.20.958 E022.45.26.513
S025.47.29.176 E022.43.59.579
S025.48.29.111 E022.45.10.748
S025.49.10.537 E022.46.47.030
S025.50.16.746 E022.46.31.949
S025.51.03.242 E022.45.36.850
S025.51.37.568 E022.44.04.528
S025.52.33.602 E022.44.24.607
S025.53.18.244 E022.43.21.528
S025.53.50.418 E022.42.47.083
S025.54.29.081 E022.43.20.503
S025.54.46.823 E022.44.40.417
S025.55.24.124 E022.44.45.168
S025.55.57.256 E022.44.04.564
S025.56.49.070 E022.43.30.479
S025.57.58.000 E022.43.34.261
S025.58.57.125 E022.43.40.929
S025.59.56.549 E022.43.36.462
S026.00.53.768 E022.43.27.991
S026.01.12.747 E022.42.46.072
S026.00.48.904 E022.40.28.477
S026.01.15.636 E022.39.53.138
S026.03.26.481 E022.40.16.350
S026.04.38.728 E022.40.14.579
S026.05.34.834 E022.38.06.404
S026.06.24.440 E022.38.05.283
S026.07.20.770 E022.37.54.079
S026.07.42.106 E022.36.29.104
S026.09.03.001 E022.36.09.350
S026.08.20.958 E022.34.52.157
S026.09.06.924 E022.34.40.940
S026.10.36.341 E022.34.46.276
S026.11.51.539 E022.34.21.877
S026.12.47.038 E022.33.42.799
S026.13.35.994 E022.32.44.842
S026.13.32.323 E022.31.12.243
S026.12.46.927 E022.30.11.713
S026.12.29.054 E022.28.53.751
S026.13.44.036 E022.27.00.938
S026.13.24.618 E022.25.26.180
S026.14.26.541 E022.24.58.357
S026.14.59.045 E022.23.52.137
S026.16.02.899 E022.24.24.616
S026.17.05.862 E022.23.05.946
S026.17.08.252 E022.21.54.549
S026.18.02.318 E022.21.48.033
S026.19.36.550 E022.21.40.402
S026.19.23.611 E022.19.29.341
S026.20.37.126 E022.18.47.784
S026.20.24.646 E022.17.17.164
S026.21.01.184 E022.14.27.152
S026.22.11.461 E022.14.22.494
S026.22.48.826 E022.13.21.450
S026.23.31.073 E022.11.59.892
S026.24.05.912 E022.11.25.213
S026.24.55.341 E022.12.02.480
S026.25.38.407 E022.11.51.348
S026.26.03.959 E022.11.05.605
S026.26.42.640 E022.10.51.429
S026.27.29.421 E022.11.08.750
S026.28.10.734 E022.10.54.623
S026.28.38.880 E022.09.56.380
S026.29.18.812 E022.09.29.427
S026.29.54.953 E022.09.53.651
S026.30.28.113 E022.09.50.070
S026.37.31.581 E022.03.01.567
S026.37.43.430 E022.02.13.108
S026.38.07.909 E022.00.52.037
