[REGIONS]
; - FABE_CTR
S029.25.01.187 E031.11.53.953
S029.25.04.598 E031.11.18.368
S029.25.11.223 E031.10.42.816
S029.25.19.923 E031.10.08.411
S029.25.32.015 E031.09.34.852
S029.25.46.005 E031.09.02.875
S029.26.02.599 E031.08.32.202
S029.26.21.580 E031.08.03.377
S029.26.42.392 E031.07.36.550
S029.27.04.911 E031.07.12.000
S029.27.20.152 E031.06.57.089
S029.37.48.713 E030.57.49.895
; - FALM_CTR
FALM_CTR 16711680 
S023.32.20.669 E029.12.15.743
S023.38.41.960 E029.23.52.452
S023.43.04.831 E029.30.00.121
S023.27.04.717 E029.35.22.352
S023.27.02.055 E029.57.30.760
S023.14.59.616 E030.02.05.520
S023.13.19.259 E030.02.29.653
S023.11.35.976 E030.02.46.935
S023.09.52.746 E030.02.53.478
S023.08.09.141 E030.02.51.268
S023.06.24.321 E030.02.36.876
S023.04.42.062 E030.02.14.955
S023.03.02.371 E030.01.41.673
S023.01.24.602 E030.01.00.419
S023.00.01.707 E030.00.17.550
S023.00.00.210 E029.22.45.186
; - FALW_ATZ
S032.58.12.587 E018.03.56.313
S032.58.38.308 E018.03.52.995
S032.59.04.728 E018.03.52.539
S032.59.30.741 E018.03.54.309
S032.59.56.914 E018.03.59.781
S033.00.22.419 E018.04.07.185
S033.00.47.570 E018.04.17.376
S033.01.11.189 E018.04.30.208
S033.01.34.180 E018.04.45.545
S033.01.55.867 E018.05.02.322
S033.02.16.329 E018.05.20.713
S033.02.35.375 E018.05.44.130
S033.02.52.418 E018.06.07.836
S033.03.07.877 E018.06.33.382
S033.03.21.883 E018.07.00.038
S033.03.32.724 E018.07.28.215
S033.03.42.257 E018.07.57.616
S033.03.49.667 E018.08.27.313
S033.03.54.432 E018.08.58.537
S033.03.57.371 E018.09.28.970
S033.03.57.561 E018.10.00.433
S033.03.55.686 E018.10.31.493
S033.03.51.667 E018.11.02.571
S033.03.45.478 E018.11.33.227
